game_date,ko_time,cup_round,cup_leg,cup_stage,cup_replay,cup_section,extra_time,pen_outcome,pen_score,pen_gf,pen_ga,agg_outcome,agg_score,agg_gf,agg_ga,away_goal_outcome,gg_outcome
1981-10-05,NA,2,1,2nd round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-09-15,NA,1,2,1st round 2nd leg,0,NA,0,NA,NA,NA,NA,W,7-5,7,5,NA,NA
1981-09-01,NA,1,1,1st round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980-12-13,NA,2,NA,2nd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980-11-25,NA,1,NA,1st round replay,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980-11-22,NA,1,NA,1st round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980-09-03,NA,2,2,2nd round 2nd leg,0,NA,0,NA,NA,NA,NA,L,3-7,3,7,NA,NA
1980-08-26,NA,2,1,2nd round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980-08-12,NA,1,2,1st round 2nd leg,0,NA,1,NA,NA,NA,NA,D,3-3,3,3,W,NA
1980-08-09,NA,1,1,1st round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979-12-18,NA,2,NA,2nd round replay,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979-12-15,NA,2,NA,2nd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979-11-24,NA,1,NA,1st round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979-09-04,NA,2,2,2nd round 2nd leg,0,NA,0,NA,NA,NA,NA,L,4-0,0,4,NA,NA
1979-08-29,NA,2,1,2nd round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979-08-15,NA,1,2,1st round 2nd leg,0,NA,0,NA,NA,NA,NA,W,3-1,3,1,NA,NA
1979-08-11,NA,1,1,1st round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978-12-19,NA,2,NA,2nd round replay,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978-12-16,NA,2,NA,2nd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978-11-25,NA,1,NA,1st round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978-08-16,NA,1,2,1st round 2nd leg,0,NA,0,NA,NA,NA,NA,L,3-2,2,3,NA,NA
1978-08-12,NA,1,1,1st round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-11-29,NA,1,NA,1st round replay,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-11-26,NA,1,NA,1st round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-08-16,NA,1,2,1st round 2nd leg,0,NA,0,NA,NA,NA,NA,L,3-2,2,3,NA,NA
1977-08-13,NA,1,1,1st round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-11-20,NA,1,NA,1st round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-09-01,7.30pm,2,NA,2nd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-08-18,NA,1,2,1st round 2nd leg,0,NA,0,NA,NA,NA,NA,W,4-3,4,3,NA,NA
1976-08-14,NA,1,1,1st round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-11-22,NA,1,NA,1st round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
