season,game_no,player_name,shirt_no,role,on_for,off_for
1923/24,15,Moreton,7,starter,,
1923/24,15,Beswick,8,starter,,
1923/24,15,Sayer,9,starter,,
1923/24,15,Hilton,10,starter,,
1923/24,15,Cartman,11,starter,,
1923/24,16,Mitchell,1,starter,,
1923/24,16,Jackson G,2,starter,,
1923/24,16,Stuart,3,starter,,
1923/24,16,Brown,4,starter,,
1923/24,16,Halstead,5,starter,,
1923/24,16,Campbell,6,starter,,
1923/24,16,Moreton,7,starter,,
1923/24,16,Beswick,8,starter,,
1923/24,16,Sayer,9,starter,,
1923/24,16,Cartman,10,starter,,
1923/24,16,Robinson J,11,starter,,
1923/24,17,Mitchell,1,starter,,
1923/24,17,Jackson G,2,starter,,
1923/24,17,Stuart,3,starter,,
1923/24,17,Buchan,4,starter,,
1923/24,17,Halstead,5,starter,,
1923/24,17,Campbell,6,starter,,
1923/24,17,Moreton,7,starter,,
1923/24,17,Brown,8,starter,,
1923/24,17,Sayer,9,starter,,
1923/24,17,Beswick,10,starter,,
1923/24,17,Cartman,11,starter,,
1923/24,18,Mitchell,1,starter,,
1923/24,18,Jackson G,2,starter,,
1923/24,18,Stuart,3,starter,,
1923/24,18,Buchan,4,starter,,
1923/24,18,Halstead,5,starter,,
1923/24,18,Campbell,6,starter,,
1923/24,18,Moreton,7,starter,,
1923/24,18,Brown,8,starter,,
1923/24,18,Sayer,9,starter,,
1923/24,18,Beswick,10,starter,,
1923/24,18,Cartman,11,starter,,
1923/24,19,Mitchell,1,starter,,
1923/24,19,Jackson G,2,starter,,
1923/24,19,Stuart,3,starter,,
1923/24,19,Hayes F,4,starter,,
1923/24,19,Buchan,5,starter,,
1923/24,19,Campbell,6,starter,,
1923/24,19,Moreton,7,starter,,
1923/24,19,Brown,8,starter,,
1923/24,19,Sayer,9,starter,,
1923/24,19,Cartman,10,starter,,
1923/24,19,Evans,11,starter,,
1923/24,20,Mitchell,1,starter,,
1923/24,20,Jackson G,2,starter,,
1923/24,20,Stuart,3,starter,,
1923/24,20,Buchan,4,starter,,
1923/24,20,Halstead,5,starter,,
1923/24,20,Campbell,6,starter,,
1923/24,20,Moreton,7,starter,,
1923/24,20,Brown,8,starter,,
1923/24,20,Sayer,9,starter,,
1923/24,20,Beswick,10,starter,,
1923/24,20,Cartman,11,starter,,
1923/24,21,Mitchell,1,starter,,
1923/24,21,Jackson G,2,starter,,
1923/24,21,Stuart,3,starter,,
1923/24,21,Buchan,4,starter,,
1923/24,21,Halstead,5,starter,,
1923/24,21,Campbell,6,starter,,
1923/24,21,Moreton,7,starter,,
1923/24,21,Beswick,8,starter,,
1923/24,21,Sayer,9,starter,,
1923/24,21,Cartman,10,starter,,
1923/24,21,Evans,11,starter,,
1923/24,22,Mitchell,1,starter,,
1923/24,22,Jackson G,2,starter,,
1923/24,22,Stuart,3,starter,,
1923/24,22,Buchan,4,starter,,
1923/24,22,Halstead,5,starter,,
1923/24,22,Campbell,6,starter,,
1923/24,22,Moreton,7,starter,,
1923/24,22,Beswick,8,starter,,
1923/24,22,Sayer,9,starter,,
1923/24,22,Cartman,10,starter,,
1923/24,22,Evans,11,starter,,
1923/24,23,Mitchell,1,starter,,
1923/24,23,Jackson G,2,starter,,
1923/24,23,Stuart,3,starter,,
1923/24,23,Hayes C,4,starter,,
1923/24,23,Halstead,5,starter,,
1923/24,23,Campbell,6,starter,,
1923/24,23,Moreton,7,starter,,
1923/24,23,Hilton,8,starter,,
1923/24,23,Sayer,9,starter,,
1923/24,23,Beswick,10,starter,,
1923/24,23,Cartman,11,starter,,
1923/24,24,Mitchell,1,starter,,
1923/24,24,Hayes C,2,starter,,
1923/24,24,Stuart,3,starter,,
1923/24,24,Buchan,4,starter,,
1923/24,24,Halstead,5,starter,,
1923/24,24,Campbell,6,starter,,
1923/24,24,Moreton,7,starter,,
1923/24,24,Beswick,8,starter,,
1923/24,24,Sayer,9,starter,,
1923/24,24,Cartman,10,starter,,
1923/24,24,Evans,11,starter,,
1923/24,25,Mitchell,1,starter,,
1923/24,25,Jackson G,2,starter,,
1923/24,25,Stuart,3,starter,,
1923/24,25,Buchan,4,starter,,
1923/24,25,Halstead,5,starter,,
1923/24,25,Campbell,6,starter,,
1923/24,25,Moreton,7,starter,,
1923/24,25,Beswick,8,starter,,
1923/24,25,Sayer,9,starter,,
1923/24,25,Cartman,10,starter,,
1923/24,25,Evans,11,starter,,
1923/24,26,Mitchell,1,starter,,
1923/24,26,Jackson G,2,starter,,
1923/24,26,Stuart,3,starter,,
1923/24,26,Buchan,4,starter,,
1923/24,26,Halstead,5,starter,,
1923/24,26,Campbell,6,starter,,
1923/24,26,Moreton,7,starter,,
1923/24,26,Dean,8,starter,,
1923/24,26,Sayer,9,starter,,
1923/24,26,Beswick,10,starter,,
1923/24,26,Cartman,11,starter,,
1923/24,27,Mitchell,1,starter,,
1923/24,27,Jackson G,2,starter,,
1923/24,27,Stuart,3,starter,,
1923/24,27,Buchan,4,starter,,
1923/24,27,Halstead,5,starter,,
1923/24,27,Campbell,6,starter,,
1923/24,27,Moreton,7,starter,,
1923/24,27,Brown,8,starter,,
1923/24,27,Sayer,9,starter,,
